annotation_id,tweet_id,llm_name_version,post_type,text,total_score,date,annotation_session,V1,V1_reason,V2,V2_reason,V3,V3_reason,V4,V4_reason,V5,V5_reason,V6,V6_reason,V7,V7_reason,V8,V8_reason,prompt_variant
47,24,gpt-4o-2024-08-06,reply,@EWErickson @tmccormick1 You’re lamenting the fact that the GOP is just grifting to line their pockets while simultaneously bragging that you’re giving money to the guy responsible for all the grifting so he can pay his legal bills. Hilariously out of touch,12,2026-03-16 15:37:47,20260316_1530,2,The tweet uses emotion and exaggeration by describing the GOP as 'grifting' and 'hilariously out of touch'.,1,The tweet does not show support for undemocratic practices or use partisan name-calling.,1,There is no support for partisan violence in the tweet.,1,The tweet does not show support for undemocratic candidates.,2,"The tweet uses terms that reduce trust, such as 'grifting'.",2,"The tweet uses terms that reduce trust, such as 'grifting'.",1,The tweet does not express resistance to interpersonal contact with outpartisans.,2,The tweet presents a biased evaluation by accusing the GOP of 'grifting' without context.,A
48,24,gpt-4o-2024-08-06,reply,@EWErickson @tmccormick1 You’re lamenting the fact that the GOP is just grifting to line their pockets while simultaneously bragging that you’re giving money to the guy responsible for all the grifting so he can pay his legal bills. Hilariously out of touch,10,2026-03-16 15:37:53,20260316_1530,2,Emotion or exaggeration is present in 'Hilariously out of touch'.,1,No support for undemocratic practices or name-calling.,1,No support for partisan violence or name-calling.,1,No support for undemocratic candidates or name-calling.,1,No name-calling or terms that reduce trust.,1,No name-calling or terms that reduce trust.,1,No terms that increase distrust or events that damage communities.,2,Emotion or exaggeration is present in 'Hilariously out of touch'.,B
49,25,gpt-4o-2024-08-06,reply,@GOP Trump has been bragging how amazing Venezuela is doing though. He keeps bragging their crime in way down. 😹,10,2026-03-16 15:37:59,20260316_1530,2,"The tweet uses sarcasm and exaggeration ('bragging') to criticize Trump, indicating emotion.",1,The tweet does not show support for undemocratic practices or use partisan name-calling.,1,There is no support for partisan violence in the tweet.,1,The tweet does not show support for undemocratic candidates.,1,There is no opposition to bipartisanship expressed in the tweet.,1,The tweet does not express social distrust.,1,There is no indication of social distance or resistance to interpersonal contact.,2,The tweet uses sarcasm to present a biased evaluation of Trump's statements about Venezuela.,A
50,25,gpt-4o-2024-08-06,reply,@GOP Trump has been bragging how amazing Venezuela is doing though. He keeps bragging their crime in way down. 😹,9,2026-03-16 15:38:05,20260316_1530,1,No partisan name-calling or emotional exaggeration directed at opposing party members.,1,No support for undemocratic practices or partisan name-calling.,1,No support for partisan violence or threatening tactics.,1,No support for undemocratic candidates or partisan name-calling.,1,No rejection of cross-party cooperation or emotional exaggeration.,1,No generalized interpersonal suspicion or emotional exaggeration.,1,No terms that increase distrust or events that damage communities.,2,The tweet partially presents political facts with a partisan stance and uses sarcasm.,B
51,26,gpt-4o-2024-08-06,quote,"He's a Veteran with 24 years of distinguished service. No one can taint that or take it away. MAGA is desperate to shift the narrative away from the couch boy who barely put in 4 years. Nice try, I'm with @GovTimWalz every step of the way until he is our Vice President.",11,2026-03-16 15:38:11,20260316_1530,2,Partisan name-calling with 'MAGA is desperate' and emotion with 'Nice try'.,1,No support for undemocratic practices is evident.,1,No support for partisan violence is evident.,1,No support for undemocratic candidates is evident.,2,Emotion with 'Nice try' suggests opposition to bipartisanship.,1,No general social distrust is evident.,2,Partisan language increases social distance with 'MAGA is desperate'.,1,No biased evaluation of politicized facts is evident.,A
52,26,gpt-4o-2024-08-06,quote,"He's a Veteran with 24 years of distinguished service. No one can taint that or take it away. MAGA is desperate to shift the narrative away from the couch boy who barely put in 4 years. Nice try, I'm with @GovTimWalz every step of the way until he is our Vice President.",14,2026-03-16 15:38:18,20260316_1530,2,The tweet includes partisan name-calling with 'couch boy' and emotional language with 'desperate to shift the narrative'.,2,"The tweet uses partisan name-calling ('couch boy') and emotional language ('desperate to shift the narrative'), but does not endorse undemocratic practices.",2,"The tweet includes partisan name-calling ('couch boy') and emotional language, but does not support partisan violence.",1,The tweet does not show support for undemocratic candidates or behaviors.,2,"The tweet includes partisan name-calling ('couch boy'), which reduces trust.",2,"The tweet includes emotional language ('desperate to shift the narrative'), indicating suspicion.",1,The tweet does not express a preference for limiting contact with the opposing party.,2,"The tweet uses emotional language ('desperate to shift the narrative'), indicating a partisan stance.",B
53,27,gpt-4o-2024-08-06,reply,"@FoxNews 🤦🏻‍♀️

Trump MAGA ⬇️ https://t.co/6CZxJIbC2V",8,2026-03-16 15:38:25,20260316_1530,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or emotional language present.,1,No support for partisan violence or emotional language present.,1,No support for undemocratic candidates or emotional language present.,1,No opposition to bipartisanship or emotional language present.,1,No social distrust or emotional language present.,1,No social distance or emotional language present.,1,No biased evaluation of politicized facts or emotional language present.,A
54,27,gpt-4o-2024-08-06,reply,"@FoxNews 🤦🏻‍♀️

Trump MAGA ⬇️ https://t.co/6CZxJIbC2V",8,2026-03-16 15:38:32,20260316_1530,1,No partisan name-calling or emotional language directed at opposing party members.,1,No support for undemocratic practices or partisan name-calling.,1,No support for partisan violence or name-calling.,1,No support for undemocratic candidates or name-calling.,1,No name-calling or emotional language reducing trust.,1,No name-calling or emotional language reducing trust.,1,No terms increasing distrust or emotional language.,1,No partisan distortion of factual claims or emotional language.,B
55,28,gpt-4o-2024-08-06,reply,@TONYxTWO Same ole’ Same ole’ Same  ole’ lies.   Satans not very clever.   Same playbook.  Never anything new.   Patriots don’t fall for any of this crapola!   THE END. #GodWins #MAGA #45-47 #NCSWIC 🎥🎬🍿,13,2026-03-16 15:38:40,20260316_1530,2,Emotion or exaggeration is present with phrases like 'Same ole’ lies' and 'Patriots don’t fall for any of this crapola!',1,No support for undemocratic practices is evident.,1,No support for partisan violence is evident.,1,No support for undemocratic candidates is evident.,2,Emotion or exaggeration is present with phrases like 'Same ole’ lies' and 'Patriots don’t fall for any of this crapola!',2,Emotion or exaggeration is present with phrases like 'Same ole’ lies' and 'Patriots don’t fall for any of this crapola!',2,Terms like 'Patriots don’t fall for any of this crapola!' suggest distrust and distance.,2,Emotion or exaggeration is present with phrases like 'Same ole’ lies' and 'Patriots don’t fall for any of this crapola!',A
56,28,gpt-4o-2024-08-06,reply,@TONYxTWO Same ole’ Same ole’ Same  ole’ lies.   Satans not very clever.   Same playbook.  Never anything new.   Patriots don’t fall for any of this crapola!   THE END. #GodWins #MAGA #45-47 #NCSWIC 🎥🎬🍿,14,2026-03-16 15:38:47,20260316_1530,2,Emotion or exaggeration is present with phrases like 'Same ole’ lies' and 'Patriots don’t fall for any of this crapola!',2,Emotion or exaggeration is present with phrases like 'Same ole’ lies' and 'Patriots don’t fall for any of this crapola!',1,No support for partisan violence or aggression is present.,1,No support for undemocratic candidates is present.,2,Emotion or exaggeration is present with phrases like 'Same ole’ lies' and 'Patriots don’t fall for any of this crapola!',2,Emotion or exaggeration is present with phrases like 'Same ole’ lies' and 'Patriots don’t fall for any of this crapola!',2,Terms like 'Patriots don’t fall for any of this crapola!' suggest distrust and distance.,2,Emotion or exaggeration is present with phrases like 'Same ole’ lies' and 'Patriots don’t fall for any of this crapola!',B
57,29,gpt-4o-2024-08-06,reply,@SteveLovesAmmo Hell yah! The felon and the hillbilly! Trump 2024! 💯,13,2026-03-16 15:38:53,20260316_1530,2,Partisan name-calling with 'felon' and 'hillbilly'.,2,Partisan name-calling with 'felon' and 'hillbilly'.,1,No support for partisan violence.,1,No support for undemocratic candidates.,2,Partisan name-calling with 'felon' and 'hillbilly'.,2,Partisan name-calling with 'felon' and 'hillbilly'.,2,Partisan name-calling with 'felon' and 'hillbilly'.,1,No biased evaluation of politicized facts.,A
58,29,gpt-4o-2024-08-06,reply,@SteveLovesAmmo Hell yah! The felon and the hillbilly! Trump 2024! 💯,13,2026-03-16 15:38:59,20260316_1530,2,Partisan name-calling with 'felon' and 'hillbilly'.,2,Partisan name-calling with 'felon' and 'hillbilly'.,1,No support for partisan violence.,2,"Support for Trump, who is often criticized for undemocratic behavior.",2,Partisan name-calling with 'felon' and 'hillbilly'.,2,Partisan name-calling with 'felon' and 'hillbilly'.,1,No terms that increase distrust or distance.,1,No distortion of factual claims.,B
59,30,gpt-4o-2024-08-06,quote,"It's been about 30 minutes, what's Hogg and Thornburg been up to today at 3:58 Mountain time on this fine Tuesday? I'll check back when the media is unemployed or #MAGA!",12,2026-03-16 15:39:06,20260316_1530,2,"The tweet uses sarcasm and exaggeration, particularly with 'when the media is unemployed' and '#MAGA'.",1,There is no explicit support for undemocratic practices.,1,There is no support for partisan violence.,1,There is no support for undemocratic candidates.,2,"The tweet uses sarcasm and exaggeration, reducing trust in media with 'when the media is unemployed'.",2,The tweet implies distrust in the media with 'when the media is unemployed'.,1,There is no language that increases social distance.,2,"The tweet uses sarcasm and exaggeration, particularly with 'when the media is unemployed' and '#MAGA'.",A
